name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"ancelot-auger-une-seduction","fre001501","","Ancelot","1","Une Séduction","Drame en Deux Actes, Mêlé de Couplets.","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANCELOT-AUGER_SEDUCTION.xml","","","","","1832","8","false","0.9404761904761905","0.9285714285714286","1.0714285714285714","several characters","6.5","2","1832","1832","7","8","1","2","5","0","1","26","","32","","0","13445","13105","377","640","93"
"andrieux-anaximandre","fre000015","","Andrieux","0","Anaximandre, Comédie.","","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANDRIEUX_ANAXIMANDRE.xml","","","","","1782","5","false","0.6","0.6","1.4","anaximandre","2.4","2","1782","1805","4","5","3","2","0","0","1","6","","12","","1","5852","5109","262","0","692"
"andrieux-moliere-et-ses-amis","fre000016","","Andrieux","0","Molière et ses Amis ou La Soirée d'Auteuil","Comédie en un Acte et en vers","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANDRIEUX_MOLIEREETSESAMIS.xml","","","","","1804","9","false","0.9523809523809526","0.9444444444444444","1.0555555555555556","several characters","7.555555555555555","2","1804","1804","8","9","2","6","1","0","1","34","","19","","1","8497","8098","167","0","1034"
"anomyme-dialogue-de-la-prude-et-de-la-coquette","fre001504","","[anonyme]","0","Dialogue de la Prude et de la Coquette","","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_PRUDECOQUETTE.xml","","","","","1659","2","false","0","1","1","angelique|iris","1","1","","1659","1","2","2","0","0","0","1","1","","1","","0","6394","5012","496","42","42"
"anonyme-adam","fre000017","Q1008497","[anonyme]","0","Adam","Mystère","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_ADAM.xml","","","","","1170","18","false","0.7592592592592592","0.40522875816993464","1.1857142857142857","several characters","6.888888888888889","4","","1170","10","18","1","14","3","0","3","62","1150/1170","10","7","1","12049","11890","1904","1","1384"
"anonyme-aventures-de-ninette","fre000018","","[anonyme]","0","Les Aventures de Ninette","Comédie en 4 Tableaux","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_AVENTURESDENINETTE.xml","","","","","1833","8","false","0.8422619047619048","0.6785714285714286","1.3214285714285714","la-maman","4.75","2","1833","1833","7","8","3","1","4","0","1","19","","6","","1","2325","2148","518","91","0"
"anonyme-bonnes-gens","fre000019","","[anonyme]","0","Les Bonnes Gens","Petite Pièce en un Acte, et en Vers.","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_BONNESGENS.xml","","","","","1772","6","false","0.9","0.6","1.4","madame-guillaume","3","2","","1772","5","6","0","3","3","0","1","9","","6","","1","3578","3040","30","0","404"
"anonyme-chapelain-decoiffe-2","fre000021","","[anonyme]","0","Fragment d'une Comédie Intitulée Chapelain Décoiffé [2]","","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_CHAPELAINDECOIFFE_2.xml","","","","","1666","2","false","0","1","1","chapelain|la-serre","1","1","","1666","1","2","0","2","0","0","1","1","","2","","1","1459","1358","30","0","129"
"anonyme-chapelain-decoiffe","fre000020","","[anonyme]","0","Fragment d'une Comédie Intitulée Chapelain Décoiffé.","D'une autre façon.","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_CHAPELAINDECOIFFE.xml","","","","","1666","3","false","1","1","1","chapelain|cassaigne|la-serre","2","1","","1666","2","3","0","3","0","0","1","3","","5","","1","2432","2312","0","0","266"
"anonyme-club-des-dames","fre000022","","[anonyme]","0","Le Club des Dames ou Le Retour de Descartes","Comédie en un Acte et en Prose.","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_CLUBDESDAMES.xml","","","","","1784","11","false","0.8376623376623378","0.509090909090909","1.5454545454545454","descartes","5.090909090909091","3","","1784","9","11","5","3","3","0","1","28","","8","","1","7258","6020","160","188","9"
