id,name,playName,wikidataId,normalizedGenre,libretto,firstAuthor,title,subtitle,numOfCoAuthors,maxDegreeIds,numOfSegments,numOfActs,numOfSpeakers,numOfSpeakersMale,numOfSpeakersFemale,numOfSpeakersUnknown,numOfPersonGroups,numOfP,numOfL,wikipediaLinkCount,wordCountText,wordCountSp,wordCountStage,yearWritten,yearPremiered,yearPrinted,yearNormalized,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,averageDegree,density,averageClustering,size,maxDegree,numConnectedComponents,numEdges,diameter,averagePathLength
fre000010,allainval-ecole-des-bourgeois,allainval-ecole-des-bourgeois,,Comedy,False,Soulas d'Allainval,L'Ecole des Bourgeois,Comédie en Trois Actes avec un Prologue,0,marthon|madame-abraham,49,3,13,5,2,6,0,720,2,,15068,14615,306,,1728.0,1728,1728.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAINVAL_ECOLEDESBOURGEOIS.xml', 'http://theatre-classique.fr/pages/documents/ALLAINVAL_ECOLEDESBOURGEOIS.xml']",,,,,7.230769230769231,0.6025641025641021,0.788517038517038,13,11.0,1.0,47.0,3.0,1.4102564102564101
fre000011,allainval-hiver,allainval-hiver,,Comedy,False,Soulas d'Allainval,L'Hiver,Comédie en Trois Actes avec un Prologue,0,comus,15,1,10,4,3,3,0,23,963,,8359,8121,179,,1733.0,1733,1733.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAINVAL_HIVER.xml', 'http://theatre-classique.fr/pages/documents/ALLAINVAL_HIVER.xml']",,,,,1.8,0.2,0.13809523809523802,10,7.0,2.0,9.0,3.0,1.888888888888888
fre000012,allais-bon-bougre,allais-bon-bougre,,,False,Allais,Le Pauvre Bougre et le Bon Génie,Féérie en un Acte,0,several characters,10,0,4,2,1,1,0,164,16,,3276,3111,286,,,1889,1889.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAIS_BONBOUGRE.xml', 'http://theatre-classique.fr/pages/documents/ALLAIS_BONBOUGRE.xml']",,,,,3.0,1.0,1.0,4,3.0,1.0,6.0,1.0,1.0
fre000013,allais-mecontent,allais-mecontent,,,False,Allais,Un Mécontent,Monologue,0,un-homme,1,0,1,1,0,0,0,41,0,,1033,1007,0,,,1889,1889.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAIS_MECONTENT.xml', 'http://theatre-classique.fr/pages/documents/ALLAIS_MECONTENT.xml']",,,,,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0
fre001570,allais-une-idee-lumineuse,allais-une-idee-lumineuse,,,False,Allais,Une Idée Lumineuse,Monologue Dit par Coquelin Cadet de la Comédie-Française,0,un-homme,1,0,1,1,0,0,0,71,0,,1115,1088,0,,,1889,1889.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAIS_IDEELUMINEUSE.xml', 'http://theatre-classique.fr/pages/documents/ALLAIS_IDEELUMINEUSE.xml']",,,,,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0
fre000014,ancelot-arago-papillotes,ancelot-arago-papillotes,,Comedy,False,Ancelot,Les Papilllotes,"Comédie en un Acte, Mêlée de Chant.",1,ninon|saint-pol,17,0,16,5,2,9,0,522,67,,9620,9350,377,,1834.0,1834,1834.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANCELOT-ARAGO_PAPILLOTES.xml', 'http://theatre-classique.fr/pages/documents/ANCELOT-ARAGO_PAPILLOTES.xml']",,,,,9.75,0.65,0.922552447552447,16,15.0,1.0,78.0,2.0,1.35
fre001501,ancelot-auger-une-seduction,ancelot-auger-une-seduction,,,False,Ancelot,Une Séduction,"Drame en Deux Actes, Mêlé de Couplets.",1,several characters,32,0,8,2,1,5,0,640,93,,13445,13105,377,,1832.0,1832,1832.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANCELOT-AUGER_SEDUCTION.xml', 'http://theatre-classique.fr/pages/documents/ANCELOT-AUGER_SEDUCTION.xml']",,,,,6.5,0.928571428571428,0.94047619047619,8,7.0,1.0,26.0,2.0,1.071428571428571
fre000015,andrieux-anaximandre,andrieux-anaximandre,,Comedy,False,Andrieux,"Anaximandre, Comédie.",,0,anaximandre,12,1,5,2,3,0,0,0,692,,5852,5109,262,,1782.0,1805,1782.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANDRIEUX_ANAXIMANDRE.xml', 'http://theatre-classique.fr/pages/documents/ANDRIEUX_ANAXIMANDRE.xml']",,,,,2.4,0.6000000000000001,0.6000000000000001,5,4.0,1.0,6.0,2.0,1.4
fre001571,andrieux-la-comedienne,andrieux-la-comedienne,,Comedy,False,Andrieux,La Comédienne,Comédie en Trois Actes et en vers,0,monsieur-de-gouvignac,31,1,7,3,4,0,0,0,1465,,12632,12225,110,,1816.0,1804,1804.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANDRIEUX_COMEDIENNE.xml', 'http://theatre-classique.fr/pages/documents/ANDRIEUX_COMEDIENNE.xml']",,,,,4.571428571428571,0.7619047619047611,0.8095238095238091,7,6.0,1.0,16.0,2.0,1.2380952380952381
fre001573,andrieux-le-reve-du-mari,andrieux-le-reve-du-mari,,Comedy,False,Andrieux,Le Rêve du Mari,Ou le Manteau,0,several characters,23,0,5,1,3,1,0,0,1007,,8614,8232,269,,1826.0,1826,1826.0,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANDRIEUX_REVEDUMARI.xml', 'http://theatre-classique.fr/pages/documents/ANDRIEUX_REVEDUMARI.xml']",,,,,4.0,1.0,1.0,5,4.0,1.0,10.0,1.0,1.0
